helics_simulation_time,powerRequired
1220.0,-603.7382033735843
1221.0,-605.5939077324531
1222.0,-607.407066097055
1223.0,-609.175894339375
1224.0,-610.8992536078931
1225.0,-612.5761569048635
1226.0,-614.2044643137551
1227.0,-615.7825758715658
1228.0,-617.3089162749186
1229.0,-618.7836802690324
1230.0,-620.2045606809675
1231.0,-621.5701612668453
1232.0,-622.8790857827861
1233.0,-624.1308975727503
1234.0,-625.324798152099
1235.0,-626.4590982961014
1236.0,-627.532611847833
1237.0,-628.5443595069703
1238.0,-629.4948679594886
1239.0,-630.3822611480974
1240.0,-631.205573415569
1241.0,-631.963839104674
1242.0,-632.6574237396793
1243.0,-633.2856503224849
1244.0,-633.8473661178754
1245.0,-634.3418389561373
1246.0,-634.7687824178364
1247.0,-635.129084773959
1248.0,-635.4213433298958
1249.0,-635.6450709680374
1250.0,-635.7997805707737
1251.0,-635.9038985001126
1252.0,-634.7264804848085
1253.0,-630.5605055665225
1254.0,-626.3497412900776
1255.0,-622.1009032636139
1256.0,-617.8244551844239
1257.0,-613.5324271950846
1258.0,-609.238158567578
1259.0,-604.946461123569
1260.0,-600.6753661642947
1261.0,-596.4332817356719
1262.0,-592.233804364631
1263.0,-588.0877425742922
1264.0,-584.0031615311063
1265.0,-579.9906459403026
1266.0,-576.0567260798424
1267.0,-572.2104121335708
1268.0,-568.4570943776774
1269.0,-564.8044179247548
1270.0,-561.2573840111139
1271.0,-557.8227021616829
1272.0,-554.5062423768039
1273.0,-551.3111317009773
1274.0,-548.2429875168395
1275.0,-545.3061530611454
1276.0,-542.5023606387605
1277.0,-539.8351788348872
1278.0,-537.3069667610896
1279.0,-534.9192076348511
1280.0,-532.6732358428128
1281.0,-530.569762416912
1282.0,-528.6099755044997
1283.0,-526.7935720863968
1284.0,-525.1198890466712
1285.0,-523.5878193939582
1286.0,-522.1957430472752
1287.0,-520.9442874659441
1288.0,-519.8302407763395
1289.0,-518.8509589619537
1290.0,-518.0034473628846
1291.0,-517.2842657621603
1292.0,-516.6938715186512
1293.0,-516.2266671996083
1294.0,-515.8787691456209
1295.0,-515.645946270284
1296.0,-515.5237823497522
1297.0,-515.5116142043477
1298.0,-515.6029515908732
1299.0,-515.7931056170797
1300.0,-516.077143780541
1301.0,-516.4501939292452
1302.0,-516.910623732906
1303.0,-517.4517029986571
1304.0,-518.0683963140065
1305.0,-518.7555212155859
1306.0,-519.5081517517243
1307.0,-520.323953717552
1308.0,-521.1964325172963
1309.0,-522.1205821893165
1310.0,-523.0913339832553
1311.0,-524.1040088888859
1312.0,-525.1558721578887
1313.0,-526.2409982575033
1314.0,-527.354703672573
1315.0,-528.4923118424316
1316.0,-529.649624313036
1317.0,-530.823872041942
1318.0,-532.0098970997683
1319.0,-533.2035749165207
1320.0,-534.4008450121438
1321.0,-535.5812356634607
1322.0,-536.7694464827514
1323.0,-537.9563461805812
1324.0,-539.1377285002542
1325.0,-540.308226224018
1326.0,-541.4628241393721
1327.0,-542.5964546267218
1328.0,-543.7081647905619
