helics_simulation_time,gridP,cooSea,T_DHWSetpoint,TimeOfDay,Occupation[1],TSetPoiZon[1],TSetPoiZonSelCon[1],Occupation[2],TSetPoiZon[2],TSetPoiZonSelCon[2],Occupation[3],TSetPoiZon[3],TSetPoiZonSelCon[3]
1980.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
1990.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2000.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2010.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2020.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2030.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2040.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2050.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2060.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2070.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2080.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2090.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2100.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2110.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2120.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2130.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2140.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2150.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2160.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2170.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2180.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2190.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2200.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2210.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2220.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2230.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2240.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2250.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2260.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2270.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2280.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2290.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2300.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2310.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2320.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2330.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2340.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2350.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2360.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2370.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2380.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2390.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2400.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2410.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2420.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2430.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2440.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2450.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2460.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2470.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2480.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2490.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2500.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2510.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
2520.0,0.0,False,325.15,0,0.0,291.15,294.15,1.0,293.15,294.15,0.0,283.15,294.15
