helics_simulation_time,Occupation[1],Occupation[2],Occupation[3],CooSea,TSetPoint[1],TSetPoint[2],TSetPoint[3],TSetPointZonSelCol[1],TSetPointZonSelCol[2],TSetPointZonSelCol[3],TSetDHWSelCon,TSetDHW
63600.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63660.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63720.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63780.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63840.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63900.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
63960.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64020.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64080.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64140.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64200.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64260.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64320.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64380.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64440.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64500.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64560.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64620.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64680.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64740.0,0.0,0.0,0.0,False,291.15,291.15,283.15,294.15,294.15,294.15,328.15,318.15
64800.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
64860.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
64920.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
64980.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
65040.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
65100.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
65160.0,1.0,0.0,0.0,False,293.15,291.15,283.15,294.15,294.15,294.15,328.15,325.15
